LEI,ISIN,Emisor / Issuer,Tenedor de la Posición / Position holder,Fecha posición / Position date,Posición corta (%) / Net short position (%)
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-10-29 ,1.0
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-10-25 ,0.99
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-10-24 ,1.01
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-10-18 ,0.93
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-10-17 ,0.89
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-10-16 ,0.53
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-10-08 ,0.51
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-20 ,0.63
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-19 ,0.74
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-18 ,0.92
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-14 ,1.08
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-11 ,1.18
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-10 ,1.25
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-07 ,1.39
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-06 ,1.57
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-05 ,1.61
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-09-04 ,1.54
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-31 ,1.4
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-30 ,1.35
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-28 ,1.2
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-24 ,1.1
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-23 ,1.01
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-22 ,0.94
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-14 ,0.8
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-07 ,0.76
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-08-06 ,0.82
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-07-31 ,0.91
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-07-30 ,0.76
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-07-27 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-06-04 ,0.55
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-05-30 ,0.61
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-05-23 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-02-27 ,0.58
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-02-26 ,0.65
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-02-15 ,0.78
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-02-08 ,0.8
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-02-07 ,0.76
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-02-01 ,0.68
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-01-31 ,0.7
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-01-29 ,0.69
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-01-17 ,0.79
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-01-16 ,0.8
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-01-10 ,0.78
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2018-01-03 ,0.81
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-12-29 ,0.74
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-12-21 ,0.62
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-12-14 ,0.52
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-11-30 ,0.59
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-11-28 ,0.78
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-11-16 ,0.88
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-11-09 ,0.92
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-11-03 ,0.81
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-11-01 ,0.73
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-10-30 ,0.63
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-10-24 ,0.52
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-10-17 ,0.51
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-08-25 ,0.58
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-08-21 ,0.62
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2017-08-17 ,0.53
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2015-10-05 ,0.56
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2015-10-02 ,0.64
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2015-10-01 ,0.75
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2015-09-24 ,0.84
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2015-09-22 ,0.7
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2015-09-11 ,0.6
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.","WorldQuant, LLC", 2015-09-10 ,0.53
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",GSA Capital Partners LLP, 2018-10-31 ,0.44
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",GSA Capital Partners LLP, 2018-10-30 ,0.51
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",GSA Capital Partners LLP, 2018-07-16 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-31 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-31 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-30 ,0.67
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-26 ,0.76
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-25 ,0.8
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-23 ,0.78
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-18 ,0.66
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-17 ,0.59
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-16 ,0.64
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-04 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Squarepoint Ops LLC, 2018-10-02 ,0.51
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-30 ,0.37
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-29 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-26 ,0.63
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-25 ,0.75
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-24 ,0.85
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-23 ,0.97
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-22 ,1.08
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-17 ,1.1
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-16 ,1.25
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-11 ,1.35
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-09-18 ,1.49
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-09-07 ,1.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-29 ,1.41
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-27 ,1.33
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-23 ,1.22
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-20 ,1.13
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-15 ,1.0
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-10 ,0.9
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-07 ,0.89
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-02 ,0.96
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-01 ,1.0
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-30 ,1.14
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-18 ,1.2
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-16 ,1.19
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-12 ,1.2
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-11 ,1.19
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-05-24 ,1.21
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-04-27 ,1.18
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-23 ,1.21
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-20 ,1.12
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-14 ,1.01
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-07 ,0.91
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-01-31 ,0.81
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-01-30 ,0.79
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-01-26 ,0.8
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-01-17 ,0.7
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-11-16 ,0.6
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-10-02 ,0.59
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-09-07 ,0.68
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-07-03 ,0.7
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-06-14 ,0.69
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-06-13 ,0.7
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-06-12 ,0.69
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-03-30 ,0.7
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-03-03 ,0.6
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-02-21 ,0.59
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2017-02-06 ,0.6
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2016-11-16 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2016-07-26 ,0.51
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",GSA Capital Partners LLP, 2018-10-30 ,0.51
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",GSA Capital Partners LLP, 2018-10-30 ,0.51
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",GSA Capital Partners LLP, 2018-07-16 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-29 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-29 ,0.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-26 ,0.63
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-25 ,0.75
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-24 ,0.85
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-23 ,0.97
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-22 ,1.08
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-17 ,1.1
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-16 ,1.25
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-10-11 ,1.35
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-09-18 ,1.49
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-09-07 ,1.5
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-29 ,1.41
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-27 ,1.33
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-23 ,1.22
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-20 ,1.13
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-15 ,1.0
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-10 ,0.9
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-07 ,0.89
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-02 ,0.96
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-08-01 ,1.0
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-30 ,1.14
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-18 ,1.2
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-16 ,1.19
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-12 ,1.2
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-07-11 ,1.19
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-05-24 ,1.21
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-04-27 ,1.18
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-23 ,1.21
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-20 ,1.12
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-14 ,1.01
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-02-07 ,0.91
54930063C6K2TNFL6H10,ES0126775032,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",Capital Fund Management SA, 2018-01-31 ,0.81
