Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.61,05/15/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.9,05/13/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,2.34,05/12/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.11,05/12/2025
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",NOKIAN RENKAAT OYJ,FI0009005318,0.61,05/09/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,FINNAIR OYJ,FI4000567029,0.5,05/09/2025
CITADEL ADVISORS EUROPE LIMITED,ELISA OYJ,FI0009007884,0.5,05/09/2025
"AQR CAPITAL MANAGEMENT, LLC",VALMET OYJ,FI4000074984,0.5,05/09/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.59,05/08/2025
ACTUSRAYPARTNERS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.59,05/07/2025
VOLEON CAPITAL MANAGEMENT LP,MANDATUM OYJ,FI4000552526,0.5,05/07/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.8,05/06/2025
"CAPITAL VENTURES INTERNATIONAL, LLC.",OUTOKUMPU OYJ,FI0009002422,3.07,05/06/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.79,05/05/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,1.03,05/02/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.87,04/30/2025
"POINT72 ASSET MANAGEMENT, L.P",FORTUM OYJ,FI0009007132,0.52,04/29/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.59,04/29/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,0.8,04/23/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.7,04/22/2025
AKO CAPITAL LLP,NOKIA OYJ,FI0009000681,0.5,04/15/2025
ACTUSRAYPARTNERS LIMITED,YIT OYJ,FI0009800643,0.5,04/08/2025
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.22,04/07/2025
MARSHALL WACE LLP,FINNAIR OYJ,FI4000567029,0.5,04/07/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,1.04,04/01/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,OUTOKUMPU OYJ,FI0009002422,0.79,01/15/2025
"AQR CAPITAL MANAGEMENT, LLC",NESTE OYJ,FI0009013296,0.69,12/30/2024
"AQR CAPITAL MANAGEMENT, LLC",STORA ENSO OYJ,FI0009005961,0.51,11/14/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.82,05/14/2025
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIETOEVRY OYJ,FI0009000277,0.48,05/08/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.01,05/07/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.49,05/07/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.61,05/06/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.5,05/05/2025
VOLEON CAPITAL MANAGEMENT LP,MANDATUM OYJ,FI4000552526,0.48,05/05/2025
VOLEON CAPITAL MANAGEMENT LP,MANDATUM OYJ,FI4000552526,0.51,05/02/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.53,05/02/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.74,04/30/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.8,04/30/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.61,04/25/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.46,04/25/2025
CANADA PENSION PLAN INVESTMENT BOARD,VALMET OYJ,FI4000074984,0.49,04/24/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.56,04/24/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.44,04/24/2025
"POINT72 ASSET MANAGEMENT, L.P",FORTUM OYJ,FI0009007132,0.49,04/23/2025
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",NOKIAN RENKAAT OYJ,FI0009005318,0.59,04/23/2025
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.25,04/23/2025
"POINT72 ASSET MANAGEMENT, L.P",FORTUM OYJ,FI0009007132,0.5,04/15/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.91,04/15/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.69,04/14/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.49,04/11/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.7,04/11/2025
"AQR CAPITAL MANAGEMENT, LLC",METSO OYJ,FI0009014575,0.48,04/11/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.49,04/11/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.61,04/10/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.71,04/10/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,0.71,04/10/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.8,04/10/2025
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.48,04/10/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.5,04/10/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,0.86,04/09/2025
ACTUSRAYPARTNERS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.6,04/09/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.57,04/09/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.59,04/09/2025
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",NOKIAN RENKAAT OYJ,FI0009005318,0.61,04/08/2025
"POINT72 ASSET MANAGEMENT, L.P.",FORTUM OYJ,FI0009007132,0.49,04/08/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.72,04/07/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.01,04/07/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.67,04/07/2025
AKO CAPITAL LLP,NOKIA OYJ,FI0009000681,0.47,04/07/2025
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.55,04/07/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.59,04/07/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.85,04/07/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.07,04/07/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.49,04/07/2025
"POINT72 ASSET MANAGEMENT, L.P.",FORTUM OYJ,FI0009007132,0.5,04/07/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.65,04/04/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.95,04/04/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.12,04/04/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.11,04/04/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.7,04/04/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.59,04/04/2025
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.35,04/04/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.95,04/04/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.62,04/03/2025
"AQR CAPITAL MANAGEMENT, LLC",METSO OYJ,FI0009014575,0.5,04/03/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.9,04/03/2025
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.47,04/03/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,TOKMANNI GROUP OYJ,FI4000197934,0.01,04/03/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,KEMPOWER OYJ,FI4000513593,0.02,04/03/2025
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.53,04/03/2025
WORLDQUANT LLC (“WQ”),TOKMANNI GROUP OYJ,FI4000197934,0.49,04/02/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,2.44,04/02/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.69,04/01/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.47,03/31/2025
WORLDQUANT LLC (“WQ”),TOKMANNI GROUP OYJ,FI4000197934,0.5,03/31/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.69,03/31/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.7,03/28/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.3,03/28/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.6,03/27/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.7,03/26/2025
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.99,03/25/2025
"AQR CAPITAL MANAGEMENT, LLC",ORION OYJ,FI0009014377,0.49,03/25/2025
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.69,03/24/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.63,03/24/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.5,03/21/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.82,03/21/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.63,03/21/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.4,03/20/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.53,03/19/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.75,03/19/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.59,03/19/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",METSO OYJ,FI0009014575,0.49,03/19/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.91,03/18/2025
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.47,03/18/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.58,03/17/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.67,03/14/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.61,03/14/2025
"CUBIST SYSTEMATIC STRATEGIES, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.49,03/13/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.59,03/12/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.68,03/12/2025
"AQR CAPITAL MANAGEMENT, LLC",ORION OYJ,FI0009014377,0.5,03/12/2025
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.5,03/12/2025
"CUBIST SYSTEMATIC STRATEGIES, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.5,03/12/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.69,03/11/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.69,03/11/2025
"CUBIST SYSTEMATIC STRATEGIES, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.49,03/11/2025
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,1.0,03/11/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.59,03/10/2025
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.49,03/10/2025
AKO CAPITAL LLP,NOKIA OYJ,FI0009000681,0.58,03/10/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,2.06,03/10/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.78,03/07/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.77,03/07/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,TOKMANNI GROUP OYJ,FI4000197934,0.68,03/07/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.49,03/06/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,1.06,03/04/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.24,03/04/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.72,03/03/2025
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.78,03/03/2025
"POINT72 ASSET MANAGEMENT, L.P.",FORTUM OYJ,FI0009007132,0.47,03/03/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.69,03/03/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,0.08,03/03/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.69,02/28/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,1.01,02/28/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.59,02/28/2025
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.91,02/27/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.75,02/27/2025
"POINT72 ASSET MANAGEMENT, L.P.",FORTUM OYJ,FI0009007132,0.51,02/27/2025
AKO CAPITAL LLP,NOKIA OYJ,FI0009000681,0.6,02/26/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.69,02/26/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.62,02/26/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.95,02/25/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.7,02/25/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.89,02/24/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.59,02/24/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.89,02/24/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,OUTOKUMPU OYJ,FI0009002422,0.5,02/21/2025
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.59,02/21/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.78,02/21/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,KEMPOWER OYJ,FI4000513593,0.6,02/21/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.8,02/20/2025
"AQR CAPITAL MANAGEMENT, LLC",METSO OYJ,FI0009014575,0.49,02/20/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.9,02/20/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.81,02/20/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.63,02/20/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.77,02/19/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.42,02/19/2025
CANADA PENSION PLAN INVESTMENT BOARD,VALMET OYJ,FI4000074984,0.59,02/19/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.55,02/18/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.48,02/18/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.7,02/18/2025
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.47,02/17/2025
CANADA PENSION PLAN INVESTMENT BOARD,VALMET OYJ,FI4000074984,0.66,02/17/2025
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIETOEVRY OYJ,FI0009000277,0.51,02/17/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.26,02/14/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.56,02/14/2025
CANADA PENSION PLAN INVESTMENT BOARD,VALMET OYJ,FI4000074984,0.7,02/14/2025
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.69,02/14/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.82,02/14/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.6,02/14/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.63,02/14/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.95,02/14/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.64,02/13/2025
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.54,02/13/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.89,02/13/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.19,02/13/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.6,02/13/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.58,02/13/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,KOJAMO OYJ,FI4000312251,0.47,02/13/2025
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.88,02/13/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,KEMPOWER OYJ,FI4000513593,0.56,02/13/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.79,02/12/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.68,02/12/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.7,02/12/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,2.11,02/12/2025
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.38,02/12/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.5,02/12/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",METSO OYJ,FI0009014575,0.59,02/12/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.75,02/11/2025
"CUBIST SYSTEMATIC STRATEGIES, LLC",NOKIAN RENKAAT OYJ,FI0009005318,0.51,02/11/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.97,02/11/2025
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.8,02/10/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.8,02/10/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.6,02/10/2025
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",NOKIAN RENKAAT OYJ,FI0009005318,0.5,02/10/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,KOJAMO OYJ,FI4000312251,0.5,02/10/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.53,02/07/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.91,02/07/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.53,02/07/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.5,02/06/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.05,02/06/2025
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.48,02/06/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.61,02/06/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,2.05,02/06/2025
ACTUSRAYPARTNERS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.59,02/05/2025
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.5,02/05/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.08,02/05/2025
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.91,02/05/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.89,02/04/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.78,02/04/2025
"D. E. SHAW & CO., L.P.",OUTOKUMPU OYJ,FI0009002422,0.49,02/04/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.41,02/04/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.78,02/03/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.01,01/31/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.82,01/31/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,TOKMANNI GROUP OYJ,FI4000197934,0.53,01/31/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.47,01/31/2025
ACTUSRAYPARTNERS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.6,01/31/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.43,01/30/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.49,01/29/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,KEMPOWER OYJ,FI4000513593,0.6,01/29/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,0.95,01/28/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.9,01/28/2025
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.79,01/28/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.51,01/28/2025
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.8,01/27/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.5,01/27/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.23,01/27/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.08,01/24/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.46,01/24/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.94,01/24/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.92,01/23/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.5,01/23/2025
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.48,01/22/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.49,01/22/2025
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.49,01/22/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.87,01/22/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.01,01/21/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.48,01/21/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,0.06,01/21/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.8,01/20/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.55,01/17/2025
AHL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.49,01/17/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.08,01/17/2025
"AQR CAPITAL MANAGEMENT, LLC",KESKO OYJ,FI0009007900,0.49,01/17/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.51,01/17/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.12,01/16/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.78,01/16/2025
"D. E. SHAW & CO., L.P.",OUTOKUMPU OYJ,FI0009002422,0.51,01/16/2025
"EXODUSPOINT CAPITAL MANAGEMENT, LP",OUTOKUMPU OYJ,FI0009002422,0.48,01/15/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.18,01/15/2025
"AQR CAPITAL MANAGEMENT, LLC",KESKO OYJ,FI0009007900,0.5,01/15/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.08,01/15/2025
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.8,01/15/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.59,01/14/2025
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.68,01/14/2025
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.53,01/13/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.11,01/13/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.08,01/10/2025
